"","Model","MAE","MAPE","RMSE"
"528","Stacked Model w/ Polynomial",42.35,0.0262241752342902,56.76
"129","Linear Model",261.07,0.152840196845361,362.89
"233","Linear w/ lag",43.15,0.0242195643562348,105.98
"338","ARIMA",109.42,0.0626449591939944,226.26
"438","Stacked Model",42.69,0.0256138420606023,54
"529","Stacked Model w/ Polynomial",44.82,0.0267359441753098,57.04
"130","Linear Model",242.6,0.141801084189724,339.54
"234","Linear w/ lag",45.01,0.0255013729441391,119.79
"339","ARIMA",110.81,0.0656791008109737,225.7
"439","Stacked Model",43.81,0.0264728464757688,53.9
"530","Stacked Model w/ Polynomial",45.13,0.0272145111842657,55.86
"131","Linear Model",248.27,0.142356590882262,357.39
"235","Linear w/ lag",46.47,0.0262739762478193,120.78
"340","ARIMA",110.47,0.0648353042243086,228.25
"440","Stacked Model",39.84,0.0231134571368492,52.82
"531","Stacked Model w/ Polynomial",41.61,0.0241289799340333,55.37
"132","Linear Model",245.93,0.144278028344194,343.46
"236","Linear w/ lag",45.54,0.0254205415129026,140.34
"341","ARIMA",119.35,0.0705337743898299,227.14
"441","Stacked Model",43.43,0.0258437876462059,54.09
"532","Stacked Model w/ Polynomial",45.14,0.0267943228665074,56.16
"133","Linear Model",242.42,0.143241367593043,349.01
"237","Linear w/ lag",44.63,0.025543800558291,130.8
"342","ARIMA",107.76,0.0651139131039206,222.42
"442","Stacked Model",42.59,0.0255440058971053,55.19
"533","Stacked Model w/ Polynomial",44.64,0.0267604855066875,57.48
"134","Linear Model",242.5,0.14710061994536,347.24
"238","Linear w/ lag",50.67,0.0284417005076494,177.1
"343","ARIMA",119.93,0.0719994292956102,221.84
"443","Stacked Model",40.07,0.0234235234207083,51.57
"534","Stacked Model w/ Polynomial",42.55,0.024857608428757,54.67
"135","Linear Model",242.34,0.142823796479618,342.22
"239","Linear w/ lag",44.84,0.0252244630675713,98.57
"344","ARIMA",110.74,0.0635434951134359,227.46
"444","Stacked Model",52.14,0.0300950208850341,65.6
"535","Stacked Model w/ Polynomial",53.16,0.0305961757446023,66.89
"136","Linear Model",246.91,0.143093479981456,347.03
"240","Linear w/ lag",45.69,0.0258358461539452,118.41
"345","ARIMA",101.75,0.060531087657702,221.06
"445","Stacked Model",41.8,0.0248277148647293,52.93
"536","Stacked Model w/ Polynomial",43.24,0.025661505484154,55.06
"137","Linear Model",240.32,0.138582496576407,345.38
"241","Linear w/ lag",47.23,0.0267024649801823,109.57
"346","ARIMA",116.73,0.0687491471359449,223.86
"446","Stacked Model",40.71,0.024768469223709,52.21
"537","Stacked Model w/ Polynomial",42.36,0.0256181404308643,54.4
"138","Linear Model",246.91,0.146813767156212,350.05
"242","Linear w/ lag",51.66,0.0290335829047721,153.85
"347","ARIMA",99.84,0.0578667245903876,216.36
